"YEAR","ew","sclass","PERC_CHNG","AREA_CHNG","PREV_AREA","PERC_CHNG_VAR","AREA_CHNG_VAR","PREV_AREA_VAR","nPlots_AREA","N"
2017,"eastside","A",0.205879524256174,6499.7170111049,3157048.78111987,0.000147360951160422,219163008.621509,18926827714.6945,1586,15745
2017,"eastside","B",-0.449192484897771,-84394.3741048223,18788020.0453552,4.19286622675177e-05,422432026.166179,81843856023.7371,4588,15745
2017,"eastside","C",-1.02525079077595,-14934.7187242524,1456689.31529906,0.00448146122002445,64758283.9481786,9739609826.77375,539,15745
2017,"eastside","D",1.58697215697807,866.778671490752,54618.3918652538,0.200136303281508,4192189.08424562,220499093.788043,45,15745
2017,"eastside","E",0.576330535178845,46422.618753129,8054860.17476469,0.000216679293700922,205135003.255068,38365663649.403,2394,15745
2017,"westside","A",-0.831660896034923,-25282.2641771549,3039972.69772959,0.00140848373730488,278769039.134112,21911450437.6877,930,15745
2017,"westside","B",-0.0346205636421407,-3201.61857619849,9247736.71882518,3.66145979651854e-06,412628017.081374,50860552464.9686,1918,15745
2017,"westside","C",1.41379590314493,4395.71699817471,310915.952465036,0.0407540401322455,33132785.0415298,1748913315.84885,192,15745
2017,"westside","D",0.0891308611174998,38.1206526344694,42769.3081347162,0.00320233267140569,1596458.93405398,257601309.638027,23,15338
2017,"westside","E",0.122780083928805,10421.9574097857,8488312.66138322,1.72168980259517e-05,242814457.191863,42675649292.7351,1787,15745
2018,"eastside","A",0.178227650550672,5667.71774626475,3180044.02165048,0.000103321912640465,191461232.957402,16291339470.4651,1825,18125
2018,"eastside","B",-0.464867301155981,-87078.715452118,18731951.0827241,3.85980576032356e-05,369917367.890406,69738522799.9319,5265,18125
2018,"eastside","C",-0.954724606787503,-13822.9826193672,1447850.2513808,0.00330596516366037,59773103.7117039,8270015163.89669,614,18125
2018,"eastside","D",5.46260079150331,2928.81085900368,53615.6854727374,1.87814653831716,6806512.7321353,177040670.329703,51,18125
2018,"eastside","E",0.624990721017314,49669.3687683358,7947216.99027591,0.000220367373241818,175831065.895333,32556495608.7291,2726,18125
2018,"westside","A",-0.471320960495719,-13965.9705493364,2963154.98777043,0.000361436760576604,245111854.779162,18508592529.5925,1078,18125
2018,"westside","B",-0.0987966569155734,-9256.46537654543,9369209.10639267,4.41594480344328e-06,350252850.003697,43588006794.4822,2216,18125
2018,"westside","C",1.04855835593716,3423.05423590726,326453.383974788,0.0192117348047643,29550406.5737298,1580683869.77171,227,18125
2018,"westside","D",-1.41431434783865,-689.610308490548,48759.3376638233,0.219717304742067,2196151.66704993,286584309.270046,29,17647
2018,"westside","E",0.0341537940350058,2926.69819863871,8569174.46898872,4.52975489346449e-06,204512259.197238,36976096212.8753,2055,18125
2019,"eastside","A",0.259194933111401,8182.38588414622,3156846.38813115,0.000156294369624118,170488705.129468,14261844121.6535,2039,20477
2019,"eastside","B",-0.508055184855313,-94418.364665947,18584273.4176281,4.14182716216759e-05,332857112.743617,61318487122.8029,5921,20477
2019,"eastside","C",-0.443773150281455,-6181.79614248191,1393008.14809576,0.000612422652267205,54061807.7186779,7077111343.91885,684,20477
2019,"eastside","D",3.67776084038297,2260.7916429145,61471.9591902305,0.897074607612821,5952329.43512976,242930600.674447,57,20477
2019,"eastside","E",0.665933077251858,53734.5099992319,8069055.56050482,0.000215930834765225,159357883.941518,29141025876.9605,3121,20477
2019,"westside","A",-0.274769064843981,-7972.12923488071,2901392.57103322,9.9329729426012e-05,217545319.643592,16233082100.422,1215,20477
2019,"westside","B",-0.195158442989867,-18470.7415491952,9464484.99292149,1.22587839760664e-05,311503955.560407,38454349193.1303,2507,20477
2019,"westside","C",1.08198041104876,3571.42368397005,330082.10199557,0.0180591655537418,26849102.4424795,1431929476.87637,261,20477
2019,"westside","D",-2.86436562958129,-1631.61537948653,56962.5386730057,0.773315531948877,2781430.3193374,322375314.019542,32,20477
2019,"westside","E",0.0605112306892191,5137.96464171637,8490927.35876511,6.00611706183637e-06,180819786.984662,32567854021.8761,2321,20477
