"YEAR","STATE","ew","BpS_Code","BPS_LLID","sclass","PERC_CHNG","AREA_CHNG","PREV_AREA","PERC_CHNG_VAR","AREA_CHNG_VAR","PREV_AREA_VAR","nPlots_AREA","N"
2017,"Oregon","eastside","Na0210290_fwo","Na0210290_fwo_1710030111","E",0,0,13014.6506545072,0,0,127720297.423695,1,5128
2017,"Oregon","eastside","Na0210290_fwo","Na0210290_fwo_1710030213","A",-10.4166666666667,-174.307086256186,1673.34802805938,114.953180120971,32841.5127641545,3026673.81634448,1,5128
2017,"Oregon","eastside","Na0210290_fwo","Na0210290_fwo_1710030301","E",0,0,9496.67683838963,0,0,93171939.0174143,1,5128
2017,"Oregon","eastside","Na0210290_fwo","Na0210290_fwo_1710030707","B",13.137740245079,394.461901470041,3002.50951922873,138.257279004129,111658.789809012,7250314.19291231,2,5128
2017,"Oregon","eastside","Na0210290_fwo","Na0210290_fwo_1710030708","B",0,0,44404.5565262048,0,0,421387063.809739,3,5128
2017,"Oregon","eastside","Na0210290_fwo","Na0210290_fwo_1710030801","B",-2.16512578140559,-405.05526574565,18708.1632496515,2.23989592900694,222369.744865241,170158476.271022,2,5128
2017,"Oregon","eastside","Na0210290_fwo","Na0210290_fwo_1710030801","E",0,0,11099.6521274106,0,0,104485763.513788,1,5128
2017,"Oregon","eastside","Na0210290_fwo","Na0210290_fwo_1710030802","B",-2.74725274725275,-460.873677778518,16775.8018711381,4.41024054093782,126636.373346842,167788129.229632,1,5128
2017,"Oregon","eastside","Na0210290_fwo","Na0210290_fwo_1710030903","B",0,0,22262.5255155888,0,0,201428259.809114,2,5128
2017,"Oregon","eastside","Na0210290_fwo","Na0210290_fwo_1710030904","B",Inf,441.491785993625,0,NA,205868.064927349,0,1,5128
2017,"Oregon","eastside","Na0210290_fwo","Na0210290_fwo_1710031001","B",0,0,14877.6902937739,0,0,146897798.631761,1,5128
2017,"Oregon","eastside","Na0210290_fwo","Na0210290_fwo_1801020604","A",-10,-945.184339371117,9451.84339371116,103.517581221286,943575.728590689,94357572.8590689,1,5128
2017,"Oregon","eastside","Na0210290_fwo","Na0210290_fwo_1801020604","B",18.3066368364099,945.184339371117,5163.06926180591,718.258444856448,943575.728590689,57129195.4142981,2,5128
2017,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030103","B",0,0,3569.57623280938,0,0,10458767.0211589,1,4789
2017,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030111","A",0,0,4279.44000029933,0,0,18919763.2620124,1,5128
2017,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030111","B",-0.126764377504377,-44.3072298017414,34952.4295973539,0.00410381885834849,1480.28073304607,318763646.773535,4,5128
2017,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030201","A",0.223140665787775,2.27440445795592,1019.26936980598,0.028781858299094,210.45143705536,654755.342134291,3,4789
2017,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030201","B",9.95805265105833,224.529561243449,2254.75370648483,127.770372752675,56394.1457517445,6550008.12319764,2,4789
2017,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030201","E",-1.85786559066074,-235.645630653423,12683.6748491379,0.680231970608984,56497.0625200677,32325085.9595282,5,4789
2017,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030202","A",Inf,530.13500952206,0,NA,336169.742173359,0,1,5128
2017,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030202","B",-5.67390293504468,-544.073327459511,9589.0489084517,22.9299897842791,336360.608773793,67093695.5792919,2,9917
2017,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030202","E",0,0,11216.9867568404,0,0,31637479.141167,4,4789
2017,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030203","B",0,0,2633.27591570175,0,0,7797867.63926114,1,4789
2017,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030203","E",-0.0203436373192729,-2.9985164053871,14739.3327866025,7.82400684214032e-05,8.83328135014827,41840430.8686752,5,4789
2017,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030204","E",0,0,8809.68691611127,0,0,25006257.5799822,3,4789
