"YEAR","STATE","sclass","PERC_CHNG","AREA_CHNG","PREV_AREA","PERC_CHNG_VAR","AREA_CHNG_VAR","PREV_AREA_VAR","nPlots_AREA","N"
2017,"Oregon","A",-0.688016854849005,-24247.2179614696,3524218.59880031,0.000602710649780038,262495032.59079,19424052390.6884,1635,10139
2017,"Oregon","B",-0.278504993152524,-43590.4715441289,15651594.2679191,1.38039631077579e-05,447722038.82477,55317880262.0928,4164,10139
2017,"Oregon","C",-1.77621599401521,-15198.0418415079,855641.537556033,0.0187813530973819,41821554.7562515,4634386626.66962,398,10139
2017,"Oregon","D",-0.802920711105989,-337.750784834074,42065.2724686646,0.0399179666048579,2897408.16196219,132256713.776478,38,10139
2017,"Oregon","E",0.444356304883102,44082.3182408684,9920488.97617539,8.30563116121878e-05,225763487.077196,34345304536.1811,2882,10139
2017,"Washington","A",0.204454688230471,5464.67079541953,2672802.88004915,0.000215781893043293,231365825.67694,19952849917.8204,881,5606
2017,"Washington","B",-0.355337077902336,-44005.5211368919,12384162.4962613,3.48993658516627e-05,390062110.405688,51192997036.0459,2342,5606
2017,"Washington","C",0.510879979225408,4659.04011543019,911963.73020806,0.00255154357445653,56043125.2639419,6829121686.23759,333,5606
2017,"Washington","D",2.24619591802279,1242.6501089593,55322.4275313053,0.590641657743374,2883876.68073212,345843689.649592,30,5606
2017,"Washington","E",0.192705226338543,12762.2579220462,6622683.85997252,4.60308086425202e-05,215719734.208712,36444371105.3657,1299,5606
2018,"Oregon","A",-0.502001816604078,-17474.3165646956,3480926.9581742,0.000262844972544743,230815633.106989,16662775699.2606,1880,11598
2018,"Oregon","B",-0.26355451318543,-41125.8269615746,15604296.2287046,1.07260459410871e-05,384752410.185062,47538160049.1743,4743,11598
2018,"Oregon","C",-2.10507032665693,-18519.5163609555,879757.608400971,0.0228054161182962,40610941.1228557,4216347909.09948,455,11598
2018,"Oregon","D",1.89964135915385,756.397200865671,39817.8949526869,0.270187461001827,2968992.50898598,108919144.020256,42,11598
2018,"Oregon","E",0.372259051102795,36966.4738211228,9930308.93718014,5.29487223197193e-05,193591278.955109,30136657071.9462,3289,11598
2018,"Washington","A",0.344670401258463,9176.06376162395,2662272.05124671,0.000408743790591361,202192810.211739,16808799382.7936,1023,6527
2018,"Washington","B",-0.441785667524124,-55209.3538670888,12496863.9604122,4.60383137964353e-05,336465758.343155,43336533656.2903,2738,6527
2018,"Washington","C",0.907676936997624,8119.58797749558,894546.026954613,0.00634233921549725,48514054.1482221,5597022879.02224,386,6527
2018,"Washington","D",2.37031876733386,1482.80334964746,62557.1281838738,0.535319819527681,6028709.26151406,354705835.579493,38,6527
2018,"Washington","E",0.237312440186446,15629.5931458517,6586082.52208449,5.49495219257772e-05,181662352.059216,30793334805.3172,1492,6527
2019,"Oregon","A",-0.246955877778744,-8454.74765348347,3423586.32219249,4.76080033506911e-05,204157373.984411,14501890156.2104,2105,13050
2019,"Oregon","B",-0.313466022467138,-48870.6646360968,15590418.4611333,1.37183914870526e-05,341067628.374629,41839861510.5504,5322,13050
2019,"Oregon","C",-1.744873842585,-14773.1682780327,846661.111965926,0.0140576061904689,36743798.3865804,3549388471.37987,510,13050
2019,"Oregon","D",1.14408974665859,563.846745795004,49283.4366745934,0.115154634919978,3022974.6314139,190060483.569643,48,13050
2019,"Oregon","E",0.363170683331079,36355.1176445022,10010476.9776694,4.40530797487793e-05,175404023.86275,26545505904.74,3731,13050
2019,"Washington","A",0.328886023954492,8665.00430274898,2634652.63697188,0.000343606019619176,181149649.156585,14823685931.2324,1149,7427
2019,"Washington","B",-0.513860127745549,-64018.4415790454,12458339.9494163,5.56812896520736e-05,305152790.439814,37980610413.9743,3106,7427
2019,"Washington","C",1.38776716683973,12162.7958195208,876429.138125406,0.0131231827978761,43927318.1169154,4929131601.98895,435,7427
2019,"Washington","D",0.094473629919794,65.3295176329687,69151.0611886428,0.00289455404490441,5707396.13066839,375245431.124346,41,7427
2019,"Washington","E",0.343802375281811,22517.3569964461,6549505.94160056,9.17499034908316e-05,160467798.69601,26934856525.9385,1711,7427
