"YEAR","ew","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N"
2002,"eastside",58.862408319353,30706120.908559,1.51508868126643,642284832083.535,1020,2438
2002,"westside",41.137591680647,21459806.0137062,1.51508868126643,437901998692.591,548,2438
2003,"eastside",60.9504831244271,32255019.7367695,1.45966227885073,635679753210.508,1011,2421
2003,"westside",39.0495168755729,20665019.7499112,1.45966227885073,430743946213.754,538,2421
2004,"eastside",59.5591374966176,30967680.5271055,1.36488547137795,565580430865.797,1030,2464
2004,"westside",40.4408625033825,21027163.3016256,1.36488547137795,395202968461.143,533,2464
2005,"eastside",60.0918800306904,30996818.2228707,1.40252826878182,552446921892.139,1031,2450
2005,"westside",39.9081199693096,20585555.6470097,1.40252826878182,413922706340.377,528,2450
2006,"eastside",60.1091309931088,30879463.468485,1.38167245474351,544769750694.504,1027,2449
2006,"westside",39.8908690068912,20492870.4154056,1.38167245474351,400552151224.953,519,2449
2007,"eastside",60.2761567417933,31408835.6124086,1.358671050505,559565073667.263,1030,2470
2007,"westside",39.7238432582067,20699389.7791928,1.358671050505,401635533583.668,541,2470
2008,"eastside",58.6469244423993,29783153.8001613,1.46165023996171,543234546119.371,988,2447
2008,"westside",41.3530755576007,21000675.1615997,1.46165023996171,422202360056.215,541,2447
2009,"eastside",60.5594839592869,30878306.8006444,1.53280814042344,579268651307.261,1015,2435
2009,"westside",39.4405160407131,20110084.7474133,1.53280814042344,426028830121.355,524,2435
2010,"eastside",58.7883853004299,29707984.9515093,1.41025550395152,552875561468.669,973,2409
2010,"westside",41.2116146995701,20825780.8590173,1.41025550395152,397444079304.881,524,2409
2011,"eastside",60.2650725538842,30517640.186853,1.55198671501908,575981893309.972,931,2347
2011,"westside",39.7349274461158,20121376.5662864,1.55198671501908,421359805137.184,507,2347
2012,"eastside",58.2196229791333,29322926.4190429,1.85337162625948,648951158120.241,1013,2462
2012,"westside",41.7803770208667,21043127.0154711,1.85337162625948,519635488386.777,551,2462
2013,"eastside",61.4866713606693,31189643.3847538,1.90660931462005,653050962715.701,1019,2457
2013,"westside",38.5133286393307,19536217.5124823,1.90660931462005,541976759335.244,544,2457
2014,"eastside",61.2033261057035,31360369.8804027,1.64955861575213,617957022925.992,1045,2476
2014,"westside",38.7966738942965,19879279.785435,1.64955861575213,464775545433.865,533,2476
2015,"eastside",59.2386048996985,29938630.0344942,1.8489668063627,656197935366.95,1032,2466
2015,"westside",40.7613951003015,20600423.1474395,1.8489668063627,495355183657.55,530,2466
2016,"eastside",60.8067094464765,30581211.0831826,1.66846235009916,639039819550.432,1031,2465
2016,"westside",39.1932905535235,19711283.5470373,1.66846235009916,434717959522.435,516,2465
2017,"eastside",60.601042122168,30443452.3612999,1.70770182737931,601843789117.812,1034,2482
2017,"westside",39.3989578778321,19792403.8141233,1.70770182737931,452919228926.471,544,2482
2018,"eastside",58.8865384072882,29463731.046374,1.61935419588389,552873167354.047,1061,2555
2018,"westside",41.1134615927118,20571016.865939,1.61935419588389,450177031681.039,582,2555
2019,"eastside",60.6265014174797,30047252.5670068,1.88866862167562,642291221201.745,1079,2529
2019,"westside",39.3734985825203,19513998.4774806,1.88866862167562,500967533931.591,548,2529
