"YEAR","STATE","ew","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N"
2011,"Oregon","eastside","A",8.10942986129987,2406115.28351917,0.00152604778837602,8601829068.29967,1257,14816
2011,"Oregon","eastside","B",38.5851683197759,11448445.1803978,0.0344227438045045,30665065947.4077,4045,14816
2011,"Oregon","eastside","C",2.2944146514277,680766.250396499,0.000124018717248331,2464214365.10183,309,14816
2011,"Oregon","eastside","D",0.157373710934418,46693.700738505,7.51935944850449e-07,149883402.688432,29,14816
2011,"Oregon","eastside","E",20.4271620502147,6060858.48803016,0.009855164905429,15241455245.3972,2352,14816
2011,"Oregon","westside","A",3.58178767295703,1062737.35757313,0.000300433359576027,4795303250.77353,428,14816
2011,"Oregon","westside","B",13.5004989073204,4005677.00955869,0.0042922517917011,14621154249.5661,1132,14816
2011,"Oregon","westside","C",0.443338020901855,131540.984520718,5.14385535226415e-06,478820752.186452,80,14816
2011,"Oregon","westside","D",0.0218618199064502,2645.04584918593,2.14023216018976e-08,2659543.90773768,3,6925
2011,"Oregon","westside","E",12.8919120977387,3825105.74265977,0.00394137035433973,10822213744.3463,1214,14816
2011,"Washington","eastside","A",3.98345043401505,890225.906763892,0.000436032895731638,3745266731.92451,409,9487
2011,"Washington","eastside","B",30.8324544731291,6890471.01144225,0.025777733437217,19038524515.2273,2055,9487
2011,"Washington","eastside","C",2.75035788239381,614653.020123407,0.000212672576851688,2523759351.57725,248,9487
2011,"Washington","eastside","D",0.04602232960638,10285.1210988789,1.16694850754228e-07,27280723.2053613,8,9487
2011,"Washington","eastside","E",8.79336759059854,1965151.51035998,0.00212384491115966,8146424144.1616,588,9487
2011,"Washington","westside","A",8.35924029055846,1868132.26141213,0.00188120185691838,8518212276.08451,579,9487
2011,"Washington","westside","B",24.1984609496028,5407898.80481524,0.0160626214796961,18118034165.6161,1369,9487
2011,"Washington","westside","C",0.858577195600434,191875.780844047,2.15944357944775e-05,721363908.445227,117,9487
2011,"Washington","westside","D",0.239036281619244,53420.0924748238,2.07342866482085e-06,256281323.164981,22,9487
2011,"Washington","westside","E",19.9390325728762,4455997.04231602,0.0109747772652301,12644284659.5033,1241,9487
2017,"Oregon","eastside","A",7.67525269594371,2261034.95188206,0.00105870086209185,7695216270.12455,1264,14824
2017,"Oregon","eastside","B",37.9805665411101,11188607.3128402,0.0257846239403723,28447758763.5239,3965,14824
2017,"Oregon","eastside","C",1.88004909938336,553839.318828771,6.52223544654669e-05,1894828985.49891,282,14824
2017,"Oregon","eastside","D",0.128885296127932,37968.021493668,4.78603348202761e-07,156743460.653257,29,14824
2017,"Oregon","eastside","E",21.4876587289032,6329999.72050953,0.00845425328576481,15576538393.5953,2470,14824
2017,"Oregon","westside","A",3.31603120056967,976861.967030985,0.000203061553458018,4293654163.79522,428,14824
2017,"Oregon","westside","B",13.3711529281529,3938977.03635105,0.00328633838570874,13152296074.6115,1135,14824
2017,"Oregon","westside","C",0.445762909880929,131316.265329751,4.23779481922282e-06,524806682.565922,70,14824
2017,"Oregon","westside","D",0.0245057508272592,7219.09249604621,2.60067749542433e-08,12674811.9547558,5,14824
2017,"Oregon","westside","E",13.6901348491009,4032945.18318004,0.00343840677381745,11527873698.3583,1270,14824
2017,"Washington","eastside","A",4.46239823244153,986378.607512373,0.000501526345786471,4012059462.36235,495,9535
2017,"Washington","eastside","B",29.9446650667026,6619036.55666292,0.0224235367131316,20620352251.3175,2045,9535
2017,"Washington","eastside","C",2.81995712374195,623329.706600234,0.000202764997622636,2486523448.95563,267,9535
2017,"Washington","eastside","D",0.10469463729879,23141.9396417902,4.43579513619114e-07,83358610.1730107,15,9535
2017,"Washington","eastside","E",9.62695766806206,2127964.51696516,0.00234141645771017,9077483605.10136,628,9535
2017,"Washington","westside","A",7.34263943826912,1623033.64409111,0.00134561332301847,6972937509.96974,549,9535
2017,"Washington","westside","B",24.5321462247521,5422641.13869133,0.0151746782145221,18316106308.2217,1412,9535
2017,"Washington","westside","C",0.841575580162478,186023.771442492,1.91888056249913e-05,594937286.019394,117,9535
2017,"Washington","westside","D",0.232997539747757,51502.3036580169,1.80793350773073e-06,232812804.359715,22,9535
