"YEAR","ew","BpS_Code","BPS_LLID","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N"
2011,"eastside","Na0210290_fwo","Na0210290_fwo_1710030111","E",0.0503849874456467,7872.47232209286,4.10376856232732e-07,52958173.0329463,1,7550
2011,"eastside","Na0210290_fwo","Na0210290_fwo_1710030213","A",0.0096228241374347,1503.53151847152,1.56517836926533e-08,1953158.74301179,1,7550
2011,"eastside","Na0210290_fwo","Na0210290_fwo_1710030301","A",0.0151383710179943,2365.31579906209,3.70905820667075e-08,4780672.29482613,1,7550
2011,"eastside","Na0210290_fwo","Na0210290_fwo_1710030301","B",0.00867804776985071,1355.91362311339,1.29334042362347e-08,1654333.31798748,1,7550
2011,"eastside","Na0210290_fwo","Na0210290_fwo_1710030301","E",0.115508613872828,18047.8037561905,1.46009451987441e-06,106504038.869114,3,7550
2011,"eastside","Na0210290_fwo","Na0210290_fwo_1710030707","B",0.00968403448663747,1513.09541447218,1.6727051327839e-08,2333059.41036345,1,7550
2011,"eastside","Na0210290_fwo","Na0210290_fwo_1710030708","A",0.0399020138644716,6234.54555948212,2.72835577338403e-07,36424745.6197484,1,7550
2011,"eastside","Na0210290_fwo","Na0210290_fwo_1710030708","B",0.178945409430347,27959.5739589234,3.07122531660672e-06,150751953.622879,6,7550
2011,"eastside","Na0210290_fwo","Na0210290_fwo_1710030708","E",0.0460475566322618,7194.76442221095,3.21009404606386e-07,38482675.5817197,1,7550
2011,"eastside","Na0210290_fwo","Na0210290_fwo_1710030801","B",0.0853789915394559,13340.1590802746,8.31743325254544e-07,70388559.6004842,3,7550
2011,"eastside","Na0210290_fwo","Na0210290_fwo_1710030801","C",0.00708377482763718,1106.81423363796,8.91113310770528e-09,1200348.5086335,1,7550
2011,"eastside","Na0210290_fwo","Na0210290_fwo_1710030801","E",0.0527289352577872,8238.70570253009,4.36409148222989e-07,53889764.1578968,1,7550
2011,"eastside","Na0210290_fwo","Na0210290_fwo_1710030802","B",0.0394875062148052,6169.78023622358,2.68640983968774e-07,38791141.3342221,1,7550
2011,"eastside","Na0210290_fwo","Na0210290_fwo_1710030903","B",0.0829622286635418,12962.5486090957,8.50962181708844e-07,78706393.2544897,2,7550
2011,"eastside","Na0210290_fwo","Na0210290_fwo_1710031001","B",0.0450889656293389,7044.98803997292,3.35799475206244e-07,44660079.1457683,1,7550
