"YEAR","STATE","ew","BpS_Code","BPS_LLID","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N"
2002,"Oregon","eastside","Na0210290_fwo","Na0210290_fwo_1710030708","A",0.352158871262405,54073.6013486532,0.000145968802205035,3532830624.23246,1,740
2002,"Oregon","eastside","Na0210290_fwo","Na0210290_fwo_1710031001","B",0.422334604032919,64849.0067348059,0.000201840736128455,4257493065.73912,1,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030111","B",0.258843550235793,39745.138030872,7.47675134580448e-05,1571256872.00706,1,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030201","B",0.110675758644466,13148.172665163,3.58016303545227e-06,316693572.183216,1,714
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030203","E",0.12847405282499,15262.5927323672,3.94001531987404e-06,303694328.108526,1,714
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030204","E",0.207587121533573,24661.1484792752,8.09122159382783e-06,492274726.964675,1,714
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030205","A",0.204874114120878,31458.191395031,4.89895075479651e-05,1195693111.7818,1,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030205","B",0.574800557909648,88259.9836601301,0.000368325804620138,5292862426.62895,2,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030205","E",0.12106263658064,18589.0326295388,1.74956050967909e-05,349833078.342891,1,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030207","E",0.296750127556883,45565.6506398677,0.000106674851216088,3168097722.62423,1,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030209","E",0.545991277559884,83836.3508401182,0.000338467074599672,5637892684.30467,1,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030210","A",0.391158694088055,60061.9805838051,0.000166699122072226,3588215099.78838,1,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030501","B",0.394659184490027,60599.4769752561,0.000182871868303007,4207725893.08553,1,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030704","B",0.616575725482976,94674.5139814467,0.000408986271081166,6403520961.03171,1,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030704","E",0.545991277559884,83836.3508401182,0.000338467074599672,5637892684.30467,1,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030705","A",0.388886047345841,59713.0182149053,0.000176511749572444,4308144614.55208,1,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030707","B",0.516266550096545,79272.1521382991,0.000299643730704568,5985676255.68943,1,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030802","B",0.390788624684685,60005.1568402559,0.00017826699755011,4328284040.83942,1,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030802","E",0.344589204350818,52911.2874491001,0.000140002371110203,3382586292.10597,1,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030803","B",0.422334604032919,64849.0067348059,0.000201840736128455,4257493065.73912,1,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030902","B",0.271517691133943,32256.0380737358,1.25976267954831e-05,662250225.869305,2,714
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030903","E",0.238374462162592,64920.7870722975,2.49378311763659e-05,3393161752.63381,2,1454
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030904","A",0.00613738613813146,942.388786533743,4.56296474611069e-08,1355138.35320802,1,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030904","B",0.290612741418752,44623.2618533339,0.000102307982317846,3038407666.77881,1,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710030905","A",0.0249975437172492,3838.34491749851,7.26513177133608e-07,14654370.5036319,1,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710031002","B",0.105702024836962,28787.7257710201,4.68847935987901e-06,513958567.354272,2,1454
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710031002","E",0.247483968130017,38000.8868862875,7.41949521115819e-05,2203488977.34828,1,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710031003","B",0.332883542338011,51113.8961213349,0.000131427291361227,3292297550.06732,1,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710031003","E",0.296750127556883,45565.6506398677,0.000106674851216088,3168097722.62423,1,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710031105","B",1.76325394161151,270745.673318839,0.00329245508696239,17552235684.6228,2,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710031105","E",0.334773639842697,51404.1184820896,0.00013169491257757,3179669643.11343,2,740
2002,"Oregon","eastside","Na0710270_fdd","Na0710270_fdd_1710031107","E",0.170241389441139,20224.511767928,6.21006571074392e-06,430242933.97305,1,714
2002,"Oregon","eastside","Na0710412_fmc","Na0710412_fmc_OEC","A",0.0904212400913655,10741.9555273939,2.61551724226112e-06,244883424.213676,1,714
2002,"Oregon","eastside","Na0710412_fmc","Na0710412_fmc_OSW","A",0.0447383460844296,5314.87207565948,3.75814152758227e-07,22864756.2414607,1,714
2002,"Oregon","eastside","Na0710412_fmc","Na0710412_fmc_OSW","E",0.162848775449144,19346.2764036157,4.97946032055526e-06,302953323.093098,1,714
2002,"Oregon","eastside","Na0710412_fmh","Na0710412_fmh_OEC","A",0.299381746545035,35566.2608016739,1.42871372278343e-05,641775176.528116,3,714
2002,"Oregon","eastside","Na0710412_fmh","Na0710412_fmh_OEC","B",2.22462930897376,306924.854681494,0.000926884500895976,14850322926.2051,6,749
2002,"Oregon","eastside","Na0710412_fmh","Na0710412_fmh_OEC","E",0.806940341334575,235235.716831943,0.000232574907096513,17051884312.1686,4,1489
2002,"Oregon","eastside","Na0710412_fmh","Na0710412_fmh_OSW","E",0.394659184490027,60599.4769752561,0.000182871868303007,4207725893.08553,1,740
2002,"Oregon","eastside","Na0710412_fmi","Na0710412_fmi_OSW","E",2.26415009804897,43398.5758862832,0.028580205423255,4703826128.67231,1,35
2002,"Oregon","eastside","R1RFWF_fcw","R1RFWF_fcw_17100301","A",0.143114544318569,17001.8689064641,4.36763787327116e-06,294067309.208346,1,714
