"YEAR","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N"
2002,"A",19.9694937291109,1951152.57971976,0.955530688636266,97486184369.9912,75,949
2002,"B",27.2619612148818,2663675.2375497,1.76328118661371,130354277685.389,76,949
2002,"C",34.476340874865,3368568.19455711,2.82904605621963,136641375732.309,116,949
2002,"D",5.96816654828025,583129.633371664,0.0844990814670942,25315355563.4844,22,949
2002,"E",12.3240376328621,1204140.58293669,0.362672873726252,67927571264.7668,32,949
2003,"A",13.7794043677365,1342866.73145157,0.474620876193143,46355189929.0426,74,950
2003,"B",22.8042263851136,2222377.40702065,1.29567040638453,100189629924.553,70,950
2003,"C",40.5289816608136,3949736.84489221,4.08851681033048,156522958914.1,113,950
2003,"D",10.4276914298094,1016226.79277203,0.272661228225555,52546193517.0862,32,950
2003,"E",12.4596961565269,1214255.05820637,0.384240704480124,60774766160.5167,31,950
2004,"A",20.8986212225656,2204715.51701516,0.873326739842724,95110726938.0771,81,953
2004,"B",21.4911383450101,2267223.54948479,0.931137544838856,84143971948.9837,75,953
2004,"C",38.1020154955997,4019600.33143221,2.89820664433041,173892712771.679,115,953
2004,"D",5.17480776612715,545920.176170862,0.0537902371707958,25465583211.3942,19,953
2004,"E",14.3334171706975,1512114.45537692,0.410419348561821,73584698916.0378,42,953
2005,"A",22.1475377995786,2212681.17165884,0.989317782084763,99809521477.1961,78,945
2005,"B",24.5632358763763,2454024.91376295,1.22035599255665,96625343243.1542,77,945
2005,"C",35.7896700338603,3575617.73865951,2.59464825284872,128574489860.995,117,945
2005,"D",8.3863243277282,837847.624747781,0.143049842819874,37172082291.8628,28,945
2005,"E",9.11323196245658,910470.362835134,0.168443173298119,42951027520.161,30,945
2006,"A",21.7184506315591,2206556.9463371,0.871686439178919,96313027723.0465,81,968
2006,"B",22.6730584555648,2303543.44693152,0.957848264239454,88220087006.1686,70,968
2006,"C",35.2687891542759,3583247.85766173,2.29366622469032,138637941905.193,114,968
2006,"D",8.38465274403324,851866.188285405,0.129651210286288,41867929512.3534,27,968
2006,"E",11.955049014567,1214612.26191528,0.264884854379923,52724526727.9005,40,968
2007,"A",19.567688060412,1962220.62030788,0.750590426117075,75235777099.3701,91,966
2007,"B",25.0336018814585,2510334.87761668,1.22948330699304,101897748237.976,81,966
